time	neuronID	deltaRR	tissue	trialN	stim
0	4	-0.0526927547462224	antenna	9	heat
1	4	-0.0623789228981015	antenna	9	heat
2	4	-0.0585044556373499	antenna	9	heat
3	4	-0.0526927547462224	antenna	9	heat
4	4	-0.0604416892677257	antenna	9	heat
5	4	-0.0371948857032158	antenna	9	heat
6	4	-0.0526927547462224	antenna	9	heat
7	4	-0.0623789228981015	antenna	9	heat
8	4	-0.0604416892677257	antenna	9	heat
9	4	-0.0623789228981015	antenna	9	heat
10	4	-0.0546299883765982	antenna	9	heat
11	4	-0.0585044556373499	antenna	9	heat
12	4	-0.0488182874854707	antenna	9	heat
13	4	-0.0139480821387059	antenna	9	heat
14	4	-0.00426191398682677	antenna	9	heat
15	4	-0.0100736148779542	antenna	9	heat
16	4	-0.0120108485083301	antenna	9	heat
17	4	-0.0216970166602092	antenna	9	heat
18	4	-0.0158853157690817	antenna	9	heat
19	4	-0.0139480821387059	antenna	9	heat
20	4	-0.0875629600929873	antenna	9	heat
21	4	-0.0875629600929873	antenna	9	heat
22	4	-0.0933746609841146	antenna	9	heat
23	4	-0.079814025571484	antenna	9	heat
24	4	-0.079814025571484	antenna	9	heat
25	4	-0.0720650910499807	antenna	9	heat
26	4	-0.0662533901588532	antenna	9	heat
27	4	-0.0662533901588532	antenna	9	heat
28	4	-0.0623789228981015	antenna	9	heat
29	4	-0.0604416892677257	antenna	9	heat
30	4	-0.0604416892677257	antenna	9	heat
31	4	-0.0604416892677257	antenna	9	heat
32	4	-0.0604416892677257	antenna	9	heat
33	4	-0.0585044556373499	antenna	9	heat
34	4	-0.0526927547462224	antenna	9	heat
35	4	-0.0526927547462224	antenna	9	heat
36	4	-0.0623789228981015	antenna	9	heat
37	4	-0.0507555211158466	antenna	9	heat
38	4	-0.0507555211158466	antenna	9	heat
39	4	-0.0526927547462224	antenna	9	heat
40	4	-0.0507555211158466	antenna	9	heat
0	5	-0.00525969756738993	antenna	9	heat
1	5	-0.00484878369493755	antenna	9	heat
2	5	-0.00525969756738993	antenna	9	heat
3	5	-0.00484878369493755	antenna	9	heat
4	5	-0.0060815253122946	antenna	9	heat
5	5	-0.00813609467455623	antenna	9	heat
6	5	-0.00854700854700861	antenna	9	heat
7	5	-0.00813609467455623	antenna	9	heat
8	5	-0.0106015779092702	antenna	9	heat
9	5	-0.0089579224194609	antenna	9	heat
10	5	-0.00936883629191328	antenna	9	heat
11	5	-0.00977975016436557	antenna	9	heat
12	5	0.0148750821827744	antenna	9	heat
13	5	-0.00731426692965156	antenna	9	heat
14	5	-0.0184089414858646	antenna	9	heat
15	5	-0.0266272189349113	antenna	9	heat
16	5	-0.0327909270216963	antenna	9	heat
17	5	-0.0364891518737673	antenna	9	heat
18	5	-0.0344345825115056	antenna	9	heat
19	5	-0.038543721236029	antenna	9	heat
20	5	-0.0738823142669297	antenna	9	heat
21	5	-0.0492274819197897	antenna	9	heat
22	5	-0.0397764628533859	antenna	9	heat
23	5	-0.034845496383958	antenna	9	heat
24	5	-0.0319690992767916	antenna	9	heat
25	5	-0.02991452991453	antenna	9	heat
26	5	-0.027449046679816	antenna	9	heat
27	5	-0.0262163050624589	antenna	9	heat
28	5	-0.0245726495726496	antenna	9	heat
29	5	-0.0221071663379356	antenna	9	heat
30	5	-0.0241617357001973	antenna	9	heat
31	5	-0.024983563445102	antenna	9	heat
32	5	-0.024983563445102	antenna	9	heat
33	5	-0.0208744247205786	antenna	9	heat
34	5	-0.0208744247205786	antenna	9	heat
35	5	-0.0241617357001973	antenna	9	heat
36	5	-0.0241617357001973	antenna	9	heat
37	5	-0.0253944773175543	antenna	9	heat
38	5	-0.024983563445102	antenna	9	heat
39	5	-0.0241617357001973	antenna	9	heat
40	5	-0.0253944773175543	antenna	9	heat
0	6	-0.0547176429323045	antenna	9	heat
1	6	-0.0547176429323045	antenna	9	heat
2	6	-0.0564714135391091	antenna	9	heat
3	6	-0.0512101017186952	antenna	9	heat
4	6	-0.0564714135391091	antenna	9	heat
5	6	-0.042441248684672	antenna	9	heat
6	6	-0.0477025605050859	antenna	9	heat
7	6	-0.0512101017186952	antenna	9	heat
8	6	-0.0564714135391091	antenna	9	heat
9	6	-0.0564714135391091	antenna	9	heat
10	6	-0.0529638723254998	antenna	9	heat
11	6	-0.0529638723254998	antenna	9	heat
12	6	-0.0406874780778674	antenna	9	heat
13	6	0.00140301648544355	antenna	9	heat
