tissue	neuronID	peak	stim
antenna	1	-0.111271676300578	heat
antenna	2	-0.0524017467248909	heat
antenna	3	-0.0228192859771807	heat
antenna	4	-0.00426191398682677	heat
antenna	5	0.0148750821827744	heat
antenna	6	0.0206944931602945	heat
antenna	7	0.022085259373395	heat
antenna	8	0.0545866759679108	heat
antenna	9	0.0559606270506743	heat
antenna	10	0.0567474790817421	heat
antenna	11	0.0455108359133127	heat
antenna	12	0.0565713584488893	heat
antenna	13	0.048565676899849	heat
antenna	14	0.0946581555518226	heat
antenna	15	0.136917633182622	heat
antenna	16	-0.0390420607768163	heat
antenna	17	-0.0203678370573037	heat
antenna	18	-7.93231094658941e-4	heat
antenna	19	-4.0744261849785e-4	heat
antenna	20	0.0100266940255464	heat
antenna	21	0.0146447380578398	heat
antenna	22	-0.00294761656176147	heat
antenna	23	0.0157553290083412	heat
antenna	24	0.0156757790097495	heat
antenna	25	0.0441693236767213	heat
antenna	26	0.0458867009791715	heat
antenna	27	0.00595761304814923	heat
antenna	28	0.0189182777843672	heat
antenna	29	0.0505154639175258	heat
antenna	30	0.0716653897200592	heat
antenna	31	0.0472370766488414	heat
antenna	32	0.107379375591296	heat
antenna	33	0.189505637467476	heat
antenna	34	0.21314041033353	heat
antenna	35	-0.0537709497206704	heat
antenna	36	-0.00565610859728507	heat
antenna	37	-0.00138108391275365	heat
antenna	38	-0.00360514557450123	heat
antenna	39	0.013235294117647	heat
antenna	40	0.00614752905432482	heat
antenna	41	-0.00780814088664512	heat
antenna	42	0.0149091627172196	heat
antenna	43	0.0201827165097418	heat
antenna	44	0.0171064210195316	heat
antenna	45	-0.0234375	heat
antenna	46	0.0305220200646149	heat
antenna	47	0.0366031322083283	heat
antenna	48	0.0190331817416203	heat
antenna	49	0.00913487372380445	heat
antenna	50	0.0572421254336295	heat
antenna	51	0.0694558944178891	heat
antenna	52	0.0524429578306057	heat
antenna	53	0.0670774056894568	heat
antenna	54	-0.0444117027994107	heat
antenna	55	-0.0409196191129792	heat
antenna	56	-0.0201656765124257	heat
antenna	57	-0.00122129946262832	heat
antenna	58	-0.00190823861279347	heat
antenna	59	3.24184136589607e-4	heat
antenna	60	3.33873891061682e-4	heat
antenna	61	0.0037359900373599	heat
antenna	62	0.0152401623100878	heat
antenna	63	0.00606493043168027	heat
antenna	64	-0.00989873036163811	heat
antenna	65	0.00247675461597108	heat
antenna	66	-0.0288421491045397	heat
antenna	67	-0.00500500500500501	heat
antenna	68	0.0236425165128167	heat
antenna	69	0.0143141426906556	heat
antenna	70	-0.0173267326732673	heat
antenna	71	0.0090704542258473	heat
antenna	72	0.0611678994266805	heat
antenna	73	0.0774659283927841	heat
antenna	74	-0.0737129485179408	heat
antenna	75	-0.0492107706592386	heat
antenna	76	-0.0335570469798658	heat
antenna	77	-0.0221322679003259	heat
antenna	78	-0.0329057445621862	heat
antenna	79	-0.0203384646752982	heat
antenna	80	-0.00481555515173539	heat
antenna	81	-0.00311788577650202	heat
antenna	82	0.00209006270188104	heat
antenna	83	0.00431483410206816	heat
antenna	84	0.0077932316902106	heat
antenna	85	0.0137544574630668	heat
antenna	86	0.0142516527582095	heat
antenna	87	-0.00389546229378927	heat
antenna	88	0.0047373961866885	heat
antenna	89	0.022990522990523	heat
antenna	90	0.00373619843209565	heat
antenna	91	-7.22917092589753e-4	heat
antenna	92	-0.00376583361862372	heat
antenna	93	0.0511435151173263	heat
antenna	94	0.067094094274878	heat
antenna	95	0.0471394037066881	heat
antenna	96	0.0691432340571615	heat
antenna	97	0.14997104806022	heat
antenna	98	-0.0361768646717284	heat
antenna	99	-0.0356744704570791	heat
antenna	100	-0.0414411848476218	heat
antenna	101	-0.0434207626184703	heat
antenna	102	-0.0363967242948135	heat
antenna	103	-0.00662402923709459	heat
antenna	104	-0.00261515380624235	heat
antenna	105	-7.86555731791085e-4	heat
antenna	106	0.0120653619608589	heat
antenna	107	0.0130870263630351	heat
antenna	108	-0.00577366929168315	heat
antenna	109	-0.00288643695011132	heat
antenna	110	0.0084559631012519	heat
antenna	111	0.0303975110416387	heat
antenna	112	0.0394886778745272	heat
antenna	113	0.0287757630363779	heat
antenna	114	0.0627972520697552	heat
antenna	115	0.0592618878637332	heat
antenna	116	0.0731688271122911	heat
antenna	117	0.0711849957374254	heat
antenna	118	0.098159509202454	heat
antenna	119	0.0928471537331722	heat
antenna	120	0.0421666095303394	heat
antenna	121	0.0706921944035346	heat
antenna	122	-0.13622788881231301	heat
antenna	123	-0.0351431927003342	heat
antenna	124	-0.0285611961679649	heat
antenna	125	-0.0207175341081354	heat
antenna	126	-0.0161231220227188	heat
antenna	127	-0.0236929104934492	heat
antenna	128	-0.00864731315626921	heat
antenna	129	-0.00599400599400594	heat
antenna	130	0.00375822110867516	heat
antenna	131	0.0067926757235676	heat
antenna	132	0.00228187562381716	heat
antenna	133	0.0113152969201974	heat
antenna	134	0.011587982832618	heat
antenna	135	0.0106031893601154	heat
antenna	136	0.0145172180958813	heat
antenna	137	0.0239993356585285	heat
antenna	138	0.0323811069631554	heat
antenna	139	0.0381775791723334	heat
antenna	140	0.0551939350693489	heat
antenna	141	0.0554054054054054	heat
antenna	142	0.0192748716828655	heat
antenna	143	0.0604647560884527	heat
antenna	144	0.00290016043440696	heat
antenna	145	0.0657093124456049	heat
antenna	146	0.0651047798445962	heat
antenna	147	0.0812220566318927	heat
antenna	148	0.0836947094535993	heat
antenna	149	0.0812826971517148	heat
antenna	150	0.0821917808219178	heat
antenna	151	-0.067024128686327	heat
antenna	152	-0.0558510638297874	heat
antenna	153	-0.0370164208182578	heat
antenna	154	-0.00912646675358536	heat
antenna	155	-0.0235343559571338	heat
antenna	156	-0.00104493207941482	heat
antenna	157	0.00417014178482078	heat
antenna	158	0.00727272727272728	heat
antenna	159	0.0147194044084379	heat
antenna	160	-0.00128302884991318	heat
antenna	161	0.0180684362008314	heat
antenna	162	0.0187781672508764	heat
antenna	163	0.0209530666344409	heat
antenna	164	0.0128783904062005	heat
antenna	165	0.0256104824300178	heat
antenna	166	0.00614652097142388	heat
antenna	167	-3.06184935701198e-4	heat
antenna	168	0.0316259216142802	heat
antenna	169	0.0366741806831975	heat
antenna	170	0.0394581886754228	heat
antenna	171	0.0400357316875102	heat
antenna	172	0.0450838396169554	heat
antenna	173	0.0451394359539939	heat
antenna	174	0.0457113401406622	heat
antenna	175	0.0492883219510616	heat
antenna	176	0.0478003384094755	heat
antenna	177	0.0146391284611893	heat
antenna	178	0.0534509550944661	heat
antenna	179	0.040653115628124	heat
antenna	180	0.0819565620939298	heat
antenna	181	0.0712622650923001	heat
antenna	182	0.0858854860186418	heat
antenna	183	-0.0734248221977361	heat
antenna	184	-0.0225563909774436	heat
antenna	185	-0.0174077181208053	heat
antenna	186	-0.0255260434632633	heat
antenna	187	-0.0189567320148544	heat
antenna	188	0.00292858751971164	heat
antenna	189	0.00443624763233981	heat
antenna	190	0.00597014925373135	heat
antenna	191	-0.0100871943922038	heat
antenna	192	0.00812407680945345	heat
antenna	193	0.0039869147413617	heat
antenna	194	0.0114246281245208	heat
antenna	195	0.0150057513332637	heat
antenna	196	0.0176881478143308	heat
antenna	197	0.0197740112994351	heat
