genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
wt	3	wt2	fl	flr	16	0.12072621287545936	5.552849659122005
wt	3	wt2	fl	flr	17	0.1842800385470062	10.821856203965389
wt	3	wt2	fl	flr	18	0.3141181041267792	13.968779441612313
wt	3	wt2	fl	flr	19	0.18254279845219415	10.7867630825513
wt	3	wt2	fl	flr	20	0.4044548164982619	14.43436753692801
wt	3	wt2	fl	flr	21	0.2225869170735502	11.682162637994297
wt	3	wt2	fl	flr	22	0.7071195992192458	36.09598613244361
wt	3	wt2	fl	flr	23	0.5362559972020022	24.319019234621933
wt	3	wt2	fl	flr	24	0.08856740862063167	2.748710554843046
wt	3	wt2	fl	flr	25	0.24909021825642289	16.354019428700283
wt	3	wt2	fl	flr	26	0.15533207109374447	5.751808180584752
wt	3	wt2	ml	mll	1	0.6680956307448657	49.65648299844584
wt	3	wt2	ml	mll	2	0.6720134473047108	49.880319353931235
wt	3	wt2	ml	mll	3	0.8205073273413261	61.54930595962169
wt	3	wt2	ml	mll	4	0.3692864226209293	24.66201463025199
wt	3	wt2	ml	mll	5	0.8554027202834544	65.53984117054269
wt	3	wt2	ml	mll	6	1.1242041325858436	89.26775602363517
wt	3	wt2	ml	mll	7	-0.013545770835894859	-8.481164964492066
wt	3	wt2	ml	mll	8	0.5030726481997657	23.29850307833091
wt	3	wt2	ml	mll	9	0.6535618961361462	40.29758277404896
wt	3	wt2	ml	mll	10	0.3960105417499327	23.47391190473712
wt	3	wt2	ml	mll	11	0.43413536144682435	29.44418086600769
wt	3	wt2	ml	mll	12	0.7324575036980386	48.746640520853084
wt	3	wt2	ml	mll	13	0.9110809449917486	58.75586229757871
wt	3	wt2	ml	mll	14	0.7241292216665066	49.67404726700213
wt	3	wt2	ml	mll	15	0.8076947164309587	59.163061376966425
wt	3	wt2	ml	mll	16	0.2049241615236339	12.423249284796228
wt	3	wt2	ml	mll	17	0.10360787850563209	6.112327420622337
wt	3	wt3	fl	fll	1	0.08181788906799736	4.194549281138702
wt	3	wt3	fl	fll	2	-0.020814370956168806	-6.247438162436583
wt	3	wt3	fl	fll	3	-0.170249582042261	-25.161299033186204
wt	3	wt3	fl	fll	4	0.31428650473198044	14.13307145806911
wt	3	wt3	fl	fll	5	0.16947199521540263	11.762122058906092
wt	3	wt3	fl	fll	6	0.19512628838547363	13.379721354330472
wt	3	wt3	fl	fll	7	0.1789641743387746	12.418637865274505
wt	3	wt3	fl	fll	8	0.1282649059827494	6.941587426450987
wt	3	wt3	fl	fll	9	0.1688497444032939	10.09684842298122
wt	3	wt3	fl	fll	10	0.22308519283860634	13.749273596854378
wt	3	wt3	fl	fll	11	0.14607752311393438	8.633122706260597
wt	3	wt3	fl	fll	12	0.1730645333365515	9.430864973214728
wt	3	wt3	fl	fll	13	0.06343733625325505	1.834132280378311
wt	3	wt3	fl	fll	14	0.11861585270961303	6.4488712105117845
wt	3	wt3	fl	fll	15	0.16011716048735	10.706580466824505
wt	3	wt3	fl	fll	16	0.16817282103972075	9.107886676593656
wt	3	wt3	fl	fll	17	0.1830489235432972	12.630693312603167
wt	3	wt3	fl	fll	18	0.11904271472439316	6.557994671355468
wt	3	wt3	fl	fll	19	0.14002151838484078	8.358339034333186
wt	3	wt3	fl	fll	20	0.18577618499399512	4.178113674841059
wt	3	wt3	fl	fll	21	0.12450897070769328	3.5685423994857266
wt	3	wt3	fl	fll	22	0.14901382503739247	7.924067824836681
wt	3	wt3	fl	fll	23	0.09234694063153272	0.3657835029017466
wt	3	wt3	fl	fll	24	0.09048526465516449	0.3435722566643529
wt	3	wt3	fl	fll	25	0.10961706569845783	4.442394860027985
wt	3	wt3	fl	fll	26	0.14269699489606302	8.864558868267537
wt	3	wt3	fl	fll	27	0.14785421749921848	9.225506158847825
wt	3	wt3	ml	mll	1	0.1483023629038969	6.698980626364037
wt	3	wt3	ml	mll	2	0.1225125157975281	5.737460200543854
wt	3	wt3	ml	mll	3	0.17051279530166977	9.592925701572899
wt	3	wt3	ml	mll	4	0.1926739475324617	8.269508842506012
wt	3	wt3	ml	mll	5	0.08674730542637692	2.4054732907436533
wt	3	wt3	ml	mll	6	0.12968825248338633	6.6742519482138825
wt	3	wt3	ml	mll	7	-0.0834916791253394	-12.600197639903548
wt	3	wt3	ml	mll	8	0.279477505019841	13.431383390186292
wt	3	wt3	ml	mll	9	0.18052121945214683	10.693878887441928
wt	3	wt3	ml	mll	10	-0.016477930640186097	-7.496733118766832
wt	3	wt3	ml	mll	11	-0.0444370071227057	-21.135372626639853
wt	3	wt3	ml	mll	12	0.18204541885355316	8.208829330997295
wt	3	wt3	ml	mll	13	0.1070352397547627	5.004987181226651
wt	3	wt3	ml	mll	14	0.10800471088890717	5.1451452983884485
wt	3	wt3	ml	mll	15	0.1333530835300896	6.8103814704498875
wt	3	wt3	ml	mll	16	0.2963530793997452	12.181179946474439
wt	3	wt3	ml	mll	17	0.2938496775355936	18.31144236332469
wt	3	wt3	ml	mll	18	0.27651644535901065	16.85794787340531
wt	3	wt3	ml	mll	19	0.030732248042786535	-1.3270559607038066
wt	3	wt3	ml	mll	20	0.16503561699762898	8.642357364116082
wt	3	wt3	ml	mll	21	-0.07072710865422226	-13.025943009694785
wt	3	wt3	ml	mll	22	0.004178314098307749	-6.245870249255
wt	3	wt3	ml	mll	23	-0.08782767803755312	-15.13778896421421
wt	3	wt3	ml	mll	24	0.08746937440156996	2.79744972881371
wt	3	wt3	ml	mll	25	0.07868293286659137	2.5315064840816723
wt	3	wt3	ml	mll	26	-0.03275548762095986	-13.694581075099409
wt	3	wt3	ml	mll	27	0.13285710800092262	4.23937652159594
