genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
ko	1	ko1	ml	mll	13	0.03163933837228185	-0.7845744682622059
ko	1	ko1	ml	mll	14	0.07161491285772391	2.1056367155306788
ko	1	ko1	ml	mll	15	0.19832825181641411	9.027678302027915
ko	1	ko1	ml	mll	16	-0.05737500902930467	-11.035014871786473
ko	1	ko1	ml	mll	17	-0.08740947092729488	-13.252707666952475
ko	1	ko1	ml	mll	18	-0.050937344205302895	-9.320175546464355
ko	1	ko1	ml	mll	19	0.6781322060300108	17.62960573091245
ko	1	ko1	ml	mll	20	0.7570502753600883	32.07382664572898
ko	1	ko1	ml	mll	21	0.32573450439193635	7.2254372160305955
ko	1	ko1	ml	mll	22	0.3525516501848377	13.14075175630785
ko	1	ko1	ml	mll	23	-0.09928311479171467	-14.464556442867448
ko	1	ko1	ml	mll	24	-0.14069757843914	-18.425631341120855
ko	1	ko2	fl	fll	1	0.044140528879759125	-3.369814909444777
ko	1	ko2	fl	fll	2	0.2646791193926658	0.5059121222923644
ko	1	ko2	fl	fll	3	0.0967577610160582	-5.894881022742204
ko	1	ko2	fl	fll	4	0.06408712882338023	0.5728698443058114
ko	1	ko2	fl	fll	5	0.1885617280611897	11.139862922476121
ko	1	ko2	fl	fll	6	0.39756192371708515	20.510326058881006
ko	1	ko2	fl	fll	7	0.26274391749606335	12.43037513257315
ko	1	ko2	fl	fll	8	0.24292069954603637	12.446389753981165
ko	1	ko2	fl	fll	9	0.2792798792989509	12.699035694178768
