pelt_temp_step	heatseek	group
26	0	ir76b_61_het
28.5	1.146679408	ir76b_61_het
31	3.296703297	ir76b_61_het
33.5	6.880076445	ir76b_61_het
36	8.480649785	ir76b_61_het
38.5	8.600095557	ir76b_61_het
40	12.25513617	ir76b_61_het
45	13.18681319	ir76b_61_het
50	7.883420927	ir76b_61_het
55	4.682274247	ir76b_61_het
60	1.887243192	ir76b_61_het
26	0.065934066	ir76b_61_het
28.5	6.065934066	ir76b_61_het
31	11.2967033	ir76b_61_het
33.5	20.04395604	ir76b_61_het
36	27.71428571	ir76b_61_het
38.5	33.6043956	ir76b_61_het
40	28.50549451	ir76b_61_het
45	24.57142857	ir76b_61_het
50	12.72527473	ir76b_61_het
55	3.076923077	ir76b_61_het
60	5.098901099	ir76b_61_het
26	0.021978022	ir76b_61_het
28.5	3.802197802	ir76b_61_het
31	2.901098901	ir76b_61_het
33.5	6.637362637	ir76b_61_het
36	8.065934066	ir76b_61_het
38.5	15.47252747	ir76b_61_het
40	7.978021978	ir76b_61_het
45	6.395604396	ir76b_61_het
50	4.131868132	ir76b_61_het
55	1.098901099	ir76b_61_het
60	0.835164835	ir76b_61_het
26	0	ir76b_61_het
28.5	0	ir76b_61_het
31	4.709576138	ir76b_61_het
33.5	5.718771025	ir76b_61_het
36	7.243776632	ir76b_61_het
38.5	9.66584436	ir76b_61_het
40	9.957389549	ir76b_61_het
45	9.710697466	ir76b_61_het
50	5.202960305	ir76b_61_het
55	2.130522539	ir76b_61_het
60	0.381251402	ir76b_61_het
26	0	ir76b_61_het
28.5	3.162143978	ir76b_61_het
31	4.619869926	ir76b_61_het
33.5	6.458847275	ir76b_61_het
36	10.04709576	ir76b_61_het
38.5	9.37429917	ir76b_61_het
40	9.733124019	ir76b_61_het
45	9.755550572	ir76b_61_het
50	10.33864095	ir76b_61_het
55	2.332361516	ir76b_61_het
60	1.412872841	ir76b_61_het
26	1.671245421	ir76b_61_het
28.5	4.326923077	ir76b_61_het
31	6.891025641	ir76b_61_het
33.5	9.706959707	ir76b_61_het
36	14.12545788	ir76b_61_het
38.5	17.37637363	ir76b_61_het
40	13.87362637	ir76b_61_het
45	13.41575092	ir76b_61_het
50	4.922161172	ir76b_61_het
55	2.174908425	ir76b_61_het
60	1.03021978	ir76b_61_het
26	0	ir76b_61_het
28.5	5.318681319	ir76b_61_het
31	21.86813187	ir76b_61_het
33.5	30.04395604	ir76b_61_het
36	34.32967033	ir76b_61_het
38.5	37.47252747	ir76b_61_het
40	37.93406593	ir76b_61_het
45	25.27472527	ir76b_61_het
50	13.84615385	ir76b_61_het
55	5.142857143	ir76b_61_het
60	0.879120879	ir76b_61_het
26	0.480769231	ir76b_61_het
28.5	2.380952381	ir76b_61_het
31	9.455128205	ir76b_61_het
33.5	12.11080586	ir76b_61_het
36	15.13278388	ir76b_61_het
38.5	18.54395604	ir76b_61_het
40	24.35897436	ir76b_61_het
45	20.48992674	ir76b_61_het
50	16.96428571	ir76b_61_het
55	10.73717949	ir76b_61_het
60	5.998168498	ir76b_61_het
26	0	ir76b_61_het
28.5	0	ir76b_61_het
31	1.274725275	ir76b_61_het
33.5	5.56043956	ir76b_61_het
36	5.494505495	ir76b_61_het
38.5	9.626373626	ir76b_61_het
40	10.65934066	ir76b_61_het
45	9.494505495	ir76b_61_het
50	11.31868132	ir76b_61_het
55	7.450549451	ir76b_61_het
60	6	ir76b_61_het
