pelt_temp_step	heatseek	group
33.5	16.88099135	ir8a_dsred_het
36	24.38625205	ir8a_dsred_het
38.5	19.33598317	ir8a_dsred_het
40	20.50502689	ir8a_dsred_het
45	24.31610942	ir8a_dsred_het
50	18.51765256	ir8a_dsred_het
55	6.850596212	ir8a_dsred_het
60	3.179798924	ir8a_dsred_het
26	0	ir8a_attp_het
28.5	0.021978022	ir8a_attp_het
31	1.714285714	ir8a_attp_het
33.5	6.725274725	ir8a_attp_het
36	10.79120879	ir8a_attp_het
38.5	10.17582418	ir8a_attp_het
40	8.395604396	ir8a_attp_het
45	9.054945055	ir8a_attp_het
50	3.076923077	ir8a_attp_het
55	1.736263736	ir8a_attp_het
60	0.285714286	ir8a_attp_het
26	0.021978022	ir8a_attp_het
28.5	6.307692308	ir8a_attp_het
31	16.46153846	ir8a_attp_het
33.5	11.42857143	ir8a_attp_het
36	18.04395604	ir8a_attp_het
38.5	15.53846154	ir8a_attp_het
40	18.35164835	ir8a_attp_het
45	11.2967033	ir8a_attp_het
50	4.637362637	ir8a_attp_het
55	1.868131868	ir8a_attp_het
60	0.549450549	ir8a_attp_het
26	2.483516484	ir8a_attp_het
28.5	3.692307692	ir8a_attp_het
31	12.61538462	ir8a_attp_het
33.5	19.27472527	ir8a_attp_het
36	19.91208791	ir8a_attp_het
38.5	16.81318681	ir8a_attp_het
40	19.27472527	ir8a_attp_het
45	18.65934066	ir8a_attp_het
50	11.12087912	ir8a_attp_het
55	6.373626374	ir8a_attp_het
60	1.582417582	ir8a_attp_het
26	0.701426233	ir8a_attp_het
28.5	1.379471592	ir8a_attp_het
31	6.359597849	ir8a_attp_het
33.5	13.58428805	ir8a_attp_het
36	15.61842413	ir8a_attp_het
38.5	18.63455693	ir8a_attp_het
40	19.19569792	ir8a_attp_het
45	11.78396072	ir8a_attp_het
50	4.372223521	ir8a_attp_het
55	1.192424597	ir8a_attp_het
60	0.140285247	ir8a_attp_het
26	1.419413919	ir8a_attp_het
28.5	2.335164835	ir8a_attp_het
31	14.01098901	ir8a_attp_het
33.5	18.1547619	ir8a_attp_het
36	24.67948718	ir8a_attp_het
38.5	23.32875458	ir8a_attp_het
40	18.56684982	ir8a_attp_het
45	17.05586081	ir8a_attp_het
50	7.097069597	ir8a_attp_het
55	2.403846154	ir8a_attp_het
60	0.412087912	ir8a_attp_het
26	1.78021978	ir8a_dsredattp_ko
28.5	5.208791209	ir8a_dsredattp_ko
31	7.67032967	ir8a_dsredattp_ko
33.5	9.714285714	ir8a_dsredattp_ko
36	14.46153846	ir8a_dsredattp_ko
38.5	18.15384615	ir8a_dsredattp_ko
40	23.01098901	ir8a_dsredattp_ko
45	25.95604396	ir8a_dsredattp_ko
50	8.285714286	ir8a_dsredattp_ko
55	4.505494505	ir8a_dsredattp_ko
60	2.813186813	ir8a_dsredattp_ko
26	5.252747253	ir8a_dsredattp_ko
28.5	6.725274725	ir8a_dsredattp_ko
31	13.34065934	ir8a_dsredattp_ko
33.5	22.30769231	ir8a_dsredattp_ko
36	25.49450549	ir8a_dsredattp_ko
38.5	26.43956044	ir8a_dsredattp_ko
40	21.73626374	ir8a_dsredattp_ko
45	27.97802198	ir8a_dsredattp_ko
50	12.68131868	ir8a_dsredattp_ko
55	4.197802198	ir8a_dsredattp_ko
60	2.373626374	ir8a_dsredattp_ko
26	4.801720019	ir8a_dsredattp_ko
28.5	20.25800287	ir8a_dsredattp_ko
31	23.19636885	ir8a_dsredattp_ko
33.5	28.40420449	ir8a_dsredattp_ko
36	31.36645963	ir8a_dsredattp_ko
38.5	38.36598184	ir8a_dsredattp_ko
40	34.32871476	ir8a_dsredattp_ko
45	22.28858098	ir8a_dsredattp_ko
50	13.64070712	ir8a_dsredattp_ko
55	6.211180124	ir8a_dsredattp_ko
60	2.388915432	ir8a_dsredattp_ko
26	5.292666517	ir8a_dsredattp_ko
28.5	17.98609554	ir8a_dsredattp_ko
31	27.33796815	ir8a_dsredattp_ko
33.5	29.08723929	ir8a_dsredattp_ko
36	31.19533528	ir8a_dsredattp_ko
38.5	42.47589146	ir8a_dsredattp_ko
40	43.46265979	ir8a_dsredattp_ko
45	35.14240861	ir8a_dsredattp_ko
50	20.61000224	ir8a_dsredattp_ko
55	8.63422292	ir8a_dsredattp_ko
60	4.933841669	ir8a_dsredattp_ko
