pelt_temp_step	heatseek	group
26	1.164835165	lvp_wt
28.5	2.21978022	lvp_wt
31	7.714285714	lvp_wt
33.5	9.054945055	lvp_wt
36	16.85714286	lvp_wt
38.5	18.32967033	lvp_wt
40	21.82417582	lvp_wt
45	19.8021978	lvp_wt
50	8.659340659	lvp_wt
55	3.582417582	lvp_wt
60	0.197802198	lvp_wt
26	0.021978022	lvp_wt
28.5	0.197802198	lvp_wt
31	4.593406593	lvp_wt
33.5	7.428571429	lvp_wt
36	11.18681319	lvp_wt
38.5	11.64835165	lvp_wt
40	19.67032967	lvp_wt
45	16.10989011	lvp_wt
50	8.923076923	lvp_wt
55	2.813186813	lvp_wt
60	0.351648352	lvp_wt
26	0	lvp_wt
28.5	1.556776557	lvp_wt
31	20.97069597	lvp_wt
33.5	20.14652015	lvp_wt
36	18.13186813	lvp_wt
38.5	23.85531136	lvp_wt
40	24.19871795	lvp_wt
45	20.71886447	lvp_wt
50	10.21062271	lvp_wt
55	3.685897436	lvp_wt
60	2.678571429	lvp_wt
26	0.269118636	lvp_wt
28.5	6.324287957	lvp_wt
31	16.16954474	lvp_wt
33.5	20.43058982	lvp_wt
36	26.64274501	lvp_wt
38.5	28.90782687	lvp_wt
40	30.67952456	lvp_wt
45	21.37250505	lvp_wt
50	9.105180534	lvp_wt
55	6.032742767	lvp_wt
60	2.736039471	lvp_wt
26	1.252747253	lvp_wt
28.5	5.934065934	lvp_wt
31	15.51648352	lvp_wt
33.5	23.23076923	lvp_wt
36	20.98901099	lvp_wt
38.5	27.8021978	lvp_wt
40	32.28571429	lvp_wt
45	33.25274725	lvp_wt
50	14.83516484	lvp_wt
55	8.175824176	lvp_wt
60	4.593406593	lvp_wt
26	0.21978022	lvp_wt
28.5	9.208791209	lvp_wt
31	20.63736264	lvp_wt
33.5	25.25274725	lvp_wt
36	36.50549451	lvp_wt
38.5	42.32967033	lvp_wt
40	34.08791209	lvp_wt
45	25.97802198	lvp_wt
50	14.46153846	lvp_wt
55	6.043956044	lvp_wt
60	2.681318681	lvp_wt
26	0	lvp_wt
28.5	3.626373626	lvp_wt
31	5.098901099	lvp_wt
33.5	6.989010989	lvp_wt
36	17.07692308	lvp_wt
38.5	12.54945055	lvp_wt
40	21.0989011	lvp_wt
45	17.91208791	lvp_wt
50	9.142857143	lvp_wt
55	3.252747253	lvp_wt
60	0.967032967	lvp_wt
26	0.583090379	lvp_wt
28.5	5.83090379	lvp_wt
31	11.32540928	lvp_wt
33.5	11.48239516	lvp_wt
36	16.43866338	lvp_wt
38.5	23.2114824	lvp_wt
40	26.08208118	lvp_wt
45	24.89347387	lvp_wt
50	13.18681319	lvp_wt
55	5.404799282	lvp_wt
60	3.476115721	lvp_wt
26	0.483516484	ir25a_BamHI_het
28.5	6.021978022	ir25a_BamHI_het
31	13.12087912	ir25a_BamHI_het
33.5	16.68131868	ir25a_BamHI_het
36	25.18681319	ir25a_BamHI_het
38.5	24.15384615	ir25a_BamHI_het
40	27.36263736	ir25a_BamHI_het
45	21.71428571	ir25a_BamHI_het
50	12.17582418	ir25a_BamHI_het
55	2.945054945	ir25a_BamHI_het
60	1.406593407	ir25a_BamHI_het
26	0.21978022	ir25a_BamHI_het
28.5	2.32967033	ir25a_BamHI_het
31	4.527472527	ir25a_BamHI_het
33.5	6.989010989	ir25a_BamHI_het
36	9.978021978	ir25a_BamHI_het
38.5	16.68131868	ir25a_BamHI_het
40	16.65934066	ir25a_BamHI_het
45	16.81318681	ir25a_BamHI_het
50	10.13186813	ir25a_BamHI_het
55	4.351648352	ir25a_BamHI_het
60	1.824175824	ir25a_BamHI_het
26	0.022893773	ir25a_BamHI_het
28.5	4.006410256	ir25a_BamHI_het
31	11.85897436	ir25a_BamHI_het
33.5	21.56593407	ir25a_BamHI_het
36	31.82234432	ir25a_BamHI_het
38.5	30.05952381	ir25a_BamHI_het
40	30.19688645	ir25a_BamHI_het
45	19.18498168	ir25a_BamHI_het
50	12.27106227	ir25a_BamHI_het
55	7.051282051	ir25a_BamHI_het
60	1.808608059	ir25a_BamHI_het
26	0.137362637	ir25a_BamHI_het
28.5	5.105311355	ir25a_BamHI_het
31	16.82692308	ir25a_BamHI_het
33.5	24.496337	ir25a_BamHI_het
36	28.8003663	ir25a_BamHI_het
38.5	30.97527473	ir25a_BamHI_het
40	26.46520147	ir25a_BamHI_het
45	20.12362637	ir25a_BamHI_het
50	16.00274725	ir25a_BamHI_het
55	6.982600733	ir25a_BamHI_het
60	2.701465201	ir25a_BamHI_het
26	0.022893773	ir25a_BamHI_het
28.5	5.173992674	ir25a_BamHI_het
31	17.42216117	ir25a_BamHI_het
33.5	30.28846154	ir25a_BamHI_het
36	45.90201465	ir25a_BamHI_het
38.5	37.82051282	ir25a_BamHI_het
40	37.72893773	ir25a_BamHI_het
45	31.68498168	ir25a_BamHI_het
50	16.07142857	ir25a_BamHI_het
55	6.639194139	ir25a_BamHI_het
60	3.708791209	ir25a_BamHI_het
26	0.426104508	ir25a_BamHI_het
28.5	1.928683561	ir25a_BamHI_het
31	8.679076026	ir25a_BamHI_het
33.5	15.20520296	ir25a_BamHI_het
36	26.75487778	ir25a_BamHI_het
38.5	27.62951334	ir25a_BamHI_het
40	28.90782687	ir25a_BamHI_het
45	32.42879569	ir25a_BamHI_het
50	14.10630186	ir25a_BamHI_het
55	5.225386858	ir25a_BamHI_het
60	2.332361516	ir25a_BamHI_het
26	1.681991478	ir25a_BamHI_het
28.5	10.3162144	ir25a_BamHI_het
31	9.486431935	ir25a_BamHI_het
33.5	27.58466024	ir25a_BamHI_het
36	29.1769455	ir25a_BamHI_het
38.5	37.49719668	ir25a_BamHI_het
40	35.97219107	ir25a_BamHI_het
45	26.19421395	ir25a_BamHI_het
50	9.755550572	ir25a_BamHI_het
55	6.840098677	ir25a_BamHI_het
60	1.659564925	ir25a_BamHI_het
26	0	ir25a_19_het
28.5	11.32540928	ir25a_19_het
31	14.93608432	ir25a_19_het
33.5	13.18681319	ir25a_19_het
36	16.34895717	ir25a_19_het
38.5	24.22067728	ir25a_19_het
40	20.11661808	ir25a_19_het
45	18.16550796	ir25a_19_het
50	8.387530837	ir25a_19_het
55	2.108095986	ir25a_19_het
60	0.74007625	ir25a_19_het
26	0	ir25a_19_het
28.5	5.337519623	ir25a_19_het
31	19.17470285	ir25a_19_het
33.5	25.61112357	ir25a_19_het
36	31.53173357	ir25a_19_het
38.5	37.18322494	ir25a_19_het
40	35.3891007	ir25a_19_het
45	22.8750841	ir25a_19_het
50	8.095985647	ir25a_19_het
55	5.001121328	ir25a_19_het
60	2.108095986	ir25a_19_het
26	0.187046996	ir25a_19_het
28.5	5.658171616	ir25a_19_het
31	12.39186346	ir25a_19_het
33.5	26.77110124	ir25a_19_het
36	29.31961655	ir25a_19_het
38.5	27.75309797	ir25a_19_het
40	32.21884498	ir25a_19_het
45	25.1578209	ir25a_19_het
50	17.88636895	ir25a_19_het
55	5.962122983	ir25a_19_het
60	4.933364508	ir25a_19_het
26	1.076474546	ir25a_19_het
28.5	9.867683337	ir25a_19_het
31	24.55707558	ir25a_19_het
33.5	27.11370262	ir25a_19_het
36	35.18726172	ir25a_19_het
38.5	36.82440009	ir25a_19_het
40	33.37071092	ir25a_19_het
45	22.65081857	ir25a_19_het
50	11.30298273	ir25a_19_het
55	5.651491366	ir25a_19_het
60	1.704418031	ir25a_19_het
26	0.21978022	ir25a_19_het
28.5	1.802197802	ir25a_19_het
31	11.05494505	ir25a_19_het
33.5	12.21978022	ir25a_19_het
36	19.42857143	ir25a_19_het
38.5	26.85714286	ir25a_19_het
40	26.85714286	ir25a_19_het
45	18	ir25a_19_het
50	11.16483516	ir25a_19_het
55	6.021978022	ir25a_19_het
60	1.318681319	ir25a_19_het
26	0	ir25a_19_het
28.5	4.126485759	ir25a_19_het
31	17.06660686	ir25a_19_het
33.5	21.64162368	ir25a_19_het
36	28.50414891	ir25a_19_het
38.5	34.89571653	ir25a_19_het
40	34.87328998	ir25a_19_het
45	22.1574344	ir25a_19_het
50	11.28055618	ir25a_19_het
55	2.018389773	ir25a_19_het
60	1.300740076	ir25a_19_het
26	0.778388278	ir25a_19_het
28.5	4.258241758	ir25a_19_het
31	10.80586081	ir25a_19_het
33.5	18.91025641	ir25a_19_het
36	23.44322344	ir25a_19_het
38.5	31.77655678	ir25a_19_het
40	26.41941392	ir25a_19_het
45	28.41117216	ir25a_19_het
50	14.46886447	ir25a_19_het
55	7.486263736	ir25a_19_het
60	4.143772894	ir25a_19_het
26	5.449652388	ir25a_BamHI19_ko
28.5	0	ir25a_BamHI19_ko
31	0.22426553	ir25a_BamHI19_ko
33.5	1.435299394	ir25a_BamHI19_ko
36	0	ir25a_BamHI19_ko
38.5	1.166180758	ir25a_BamHI19_ko
40	2.06324288	ir25a_BamHI19_ko
45	0	ir25a_BamHI19_ko
50	0	ir25a_BamHI19_ko
55	0	ir25a_BamHI19_ko
60	0	ir25a_BamHI19_ko
26	0	ir25a_BamHI19_ko
28.5	0.246692083	ir25a_BamHI19_ko
31	0	ir25a_BamHI19_ko
33.5	1.435299394	ir25a_BamHI19_ko
36	0.201838977	ir25a_BamHI19_ko
