trial	fed	nonfed	total	group
1	9	1	10	control
1	10	2	12	antennatipcut
2	10	0	10	control
2	7	3	10	antennatipcut
3	11	1	12	control
3	9	1	10	antennatipcut
4	10	0	10	antennatipcut
5	15	0	15	antennatipcut
5	15	0	15	control
6	15	0	15	antennatipcut
6	16	0	16	control
7	15	0	15	antennatipcut
7	14	1	15	control
8	14	0	14	antennatipcut
8	13	1	14	control
9	13	1	14	antennatipcut
9	13	0	13	control
