pelt_temp_step	heatseek	group
55	3.736263736	orco_5_het
60	1.67032967	orco_5_het
26	0	orco_5_het
28.5	0.045787546	orco_5_het
31	2.312271062	orco_5_het
33.5	5.265567766	orco_5_het
36	3.47985348	orco_5_het
38.5	6.868131868	orco_5_het
40	9.088827839	orco_5_het
45	8.402014652	orco_5_het
50	2.220695971	orco_5_het
55	1.648351648	orco_5_het
60	0.228937729	orco_5_het
26	5.538461538	orco_16_het
28.5	5.450549451	orco_16_het
31	13.8021978	orco_16_het
33.5	10.9010989	orco_16_het
36	20.43956044	orco_16_het
38.5	21.36263736	orco_16_het
40	20.81318681	orco_16_het
45	13.58241758	orco_16_het
50	6.285714286	orco_16_het
55	0.945054945	orco_16_het
60	0.175824176	orco_16_het
26	0.175824176	orco_16_het
28.5	0.527472527	orco_16_het
31	7.186813187	orco_16_het
33.5	10.32967033	orco_16_het
36	11.16483516	orco_16_het
38.5	12.81318681	orco_16_het
40	14.92307692	orco_16_het
45	9.538461538	orco_16_het
50	6.967032967	orco_16_het
55	1.692307692	orco_16_het
60	0.32967033	orco_16_het
26	0.140285247	orco_16_het
28.5	3.881225158	orco_16_het
31	9.609539397	orco_16_het
33.5	19.59317278	orco_16_het
36	22.9600187	orco_16_het
38.5	21.48702361	orco_16_het
40	23.80173018	orco_16_het
45	19.17231704	orco_16_het
50	12.6256722	orco_16_het
55	3.951367781	orco_16_het
60	1.613280337	orco_16_het
26	0	orco_16_het
28.5	3.565821933	orco_16_het
31	10.74231891	orco_16_het
33.5	15.83314645	orco_16_het
36	13.72505046	orco_16_het
38.5	16.19197129	orco_16_het
40	17.91881588	orco_16_het
45	10.40592061	orco_16_het
50	7.961426329	orco_16_het
55	2.422067728	orco_16_het
60	1.345593182	orco_16_het
26	0.307692308	orco_16_het
28.5	4	orco_16_het
31	21.38461538	orco_16_het
33.5	22.85714286	orco_16_het
36	26.43956044	orco_16_het
38.5	23.69230769	orco_16_het
40	22.04395604	orco_16_het
45	19.01098901	orco_16_het
50	8.813186813	orco_16_het
55	4.10989011	orco_16_het
60	2.571428571	orco_16_het
26	2.266483516	orco_16_het
28.5	5.402930403	orco_16_het
31	13.18681319	orco_16_het
33.5	22.84798535	orco_16_het
36	24.56501832	orco_16_het
38.5	30.4029304	orco_16_het
40	27.15201465	orco_16_het
45	19.94047619	orco_16_het
50	9.409340659	orco_16_het
55	4.143772894	orco_16_het
60	1.465201465	orco_16_het
26	1.648351648	orco_16_het
28.5	4.51007326	orco_16_het
31	18.54395604	orco_16_het
33.5	30.746337	orco_16_het
36	36.46978022	orco_16_het
38.5	43.40659341	orco_16_het
40	34.5467033	orco_16_het
45	22.61904762	orco_16_het
50	12.31684982	orco_16_het
55	3.777472527	orco_16_het
60	2.4496337	orco_16_het
26	0.043956044	orco_16_het
28.5	0.153846154	orco_16_het
31	2.879120879	orco_16_het
