geneID	geneClass	geneType
AAEL020961	ncRNA_gene	lncRNA
AAEL028076	ncRNA_gene	lncRNA
AAEL022576	ncRNA_gene	lncRNA
AAEL013746	protein_coding_gene	protein_coding
AAEL023561	protein_coding_gene	protein_coding
AAEL023447	ncRNA_gene	lncRNA
AAEL022263	protein_coding_gene	protein_coding
AAEL006120	protein_coding_gene	protein_coding
AAEL006113	protein_coding_gene	protein_coding
AAEL006118	protein_coding_gene	protein_coding
AAEL006116	protein_coding_gene	protein_coding
AAEL006114	protein_coding_gene	protein_coding
AAEL020072	protein_coding_gene	protein_coding
AAEL016427	ncRNA_gene	tRNA
AAEL007205	protein_coding_gene	protein_coding
AAEL007209	protein_coding_gene	protein_coding
AAEL020242	protein_coding_gene	protein_coding
AAEL007203	protein_coding_gene	protein_coding
AAEL023320	ncRNA_gene	lncRNA
AAEL028157	protein_coding_gene	protein_coding
AAEL007202	protein_coding_gene	protein_coding
AAEL020502	protein_coding_gene	protein_coding
AAEL025190	protein_coding_gene	protein_coding
AAEL019536	protein_coding_gene	protein_coding
AAEL024738	ncRNA_gene	lncRNA
AAEL021292	ncRNA_gene	lncRNA
AAEL007198	protein_coding_gene	protein_coding
AAEL007217	protein_coding_gene	protein_coding
AAEL026926	protein_coding_gene	protein_coding
AAEL026878	protein_coding_gene	protein_coding
AAEL007211	protein_coding_gene	protein_coding
AAEL010419	protein_coding_gene	protein_coding
AAEL010404	protein_coding_gene	protein_coding
AAEL010423	protein_coding_gene	protein_coding
AAEL010406	protein_coding_gene	protein_coding
AAEL010416	protein_coding_gene	protein_coding
AAEL010407	protein_coding_gene	protein_coding
AAEL010427	protein_coding_gene	protein_coding
AAEL010414	protein_coding_gene	protein_coding
AAEL010403	protein_coding_gene	protein_coding
AAEL010408	protein_coding_gene	protein_coding
AAEL010421	protein_coding_gene	protein_coding
AAEL010401	protein_coding_gene	protein_coding
AAEL022476	protein_coding_gene	protein_coding
AAEL010422	protein_coding_gene	protein_coding
AAEL021305	ncRNA_gene	lncRNA
AAEL010412	protein_coding_gene	protein_coding
AAEL010402	protein_coding_gene	protein_coding
AAEL010417	protein_coding_gene	protein_coding
AAEL010411	protein_coding_gene	protein_coding
Or57	pseudogene	Odorant receptor 57
Or54	protein_coding_gene	Odorant receptor 54
Or55	protein_coding_gene	Odorant receptor 55
Or27	protein_coding_gene	Odorant receptor 27
Or26	protein_coding_gene	Odorant receptor 26
Or32	protein_coding_gene	Odorant receptor 32
AAEL027292	ncRNA_gene	lncRNA
Or47	protein_coding_gene	Odorant receptor 47
AAEL010424	protein_coding_gene	protein_coding
AAEL018080	protein_coding_gene	protein_coding
Or51	pseudogene	Odorant receptor 51
Or50	protein_coding_gene	Odorant receptor 50
Or30	protein_coding_gene	Odorant receptor 30
AAEL010405	protein_coding_gene	protein_coding
AAEL007793	protein_coding_gene	protein_coding
AAEL007789	protein_coding_gene	protein_coding
AAEL007788	protein_coding_gene	protein_coding
AAEL007790	protein_coding_gene	protein_coding
AAEL007792	protein_coding_gene	protein_coding
AAEL022951	protein_coding_gene	protein_coding
AAEL026419	ncRNA_gene	lncRNA
AAEL019844	protein_coding_gene	protein_coding
AAEL021779	ncRNA_gene	lncRNA
AAEL024316	ncRNA_gene	lncRNA
AAEL025310	ncRNA_gene	lncRNA
AAEL020380	ncRNA_gene	lncRNA
AAEL012059	protein_coding_gene	protein_coding
AAEL012063	protein_coding_gene	protein_coding
AAEL012060	protein_coding_gene	protein_coding
AAEL012061	protein_coding_gene	protein_coding
AAEL012066	protein_coding_gene	protein_coding
AAEL012064	protein_coding_gene	protein_coding
AAEL012062	protein_coding_gene	protein_coding
AAEL019018	ncRNA_gene	tRNA
AAEL027586	ncRNA_gene	lncRNA
AAEL019513	protein_coding_gene	protein_coding
AAEL023385	pseudogene	pseudogene
AAEL014893	protein_coding_gene	protein_coding
AAEL026582	protein_coding_gene	protein_coding
AAEL017061	protein_coding_gene	protein_coding
AAEL014891	protein_coding_gene	protein_coding
AAEL014890	protein_coding_gene	protein_coding
AAEL024267	protein_coding_gene	protein_coding
AAEL027536	protein_coding_gene	protein_coding
AAEL011941	protein_coding_gene	protein_coding
AAEL012489	protein_coding_gene	protein_coding
AAEL018056	protein_coding_gene	protein_coding
AAEL023169	protein_coding_gene	protein_coding
AAEL026429	ncRNA_gene	lncRNA
AAEL007343	protein_coding_gene	protein_coding
AAEL012482	protein_coding_gene	protein_coding
AAEL012486	protein_coding_gene	protein_coding
AAEL026207	pseudogene	pseudogene
AAEL023695	protein_coding_gene	protein_coding
AAEL014263	protein_coding_gene	protein_coding
AAEL014264	protein_coding_gene	protein_coding
AAEL014262	protein_coding_gene	protein_coding
AAEL022748	protein_coding_gene	protein_coding
AAEL014511	protein_coding_gene	protein_coding
AAEL024026	ncRNA_gene	lncRNA
AAEL019830	protein_coding_gene	protein_coding
AAEL014174	protein_coding_gene	protein_coding
AAEL014176	protein_coding_gene	protein_coding
AAEL009759	protein_coding_gene	protein_coding
AAEL029003	ncRNA_gene	tRNA
AAEL025386	ncRNA_gene	lncRNA
AAEL024118	ncRNA_gene	lncRNA
AAEL021138	protein_coding_gene	protein_coding
AAEL021820	ncRNA_gene	lncRNA
AAEL027387	ncRNA_gene	lncRNA
AAEL020999	ncRNA_gene	lncRNA
AAEL013846	protein_coding_gene	protein_coding
AAEL027664	protein_coding_gene	protein_coding
AAEL026136	ncRNA_gene	lncRNA
AAEL003177	protein_coding_gene	protein_coding
AAEL003173	protein_coding_gene	protein_coding
AAEL003163	protein_coding_gene	protein_coding
AAEL023195	ncRNA_gene	lncRNA
AAEL003170	protein_coding_gene	protein_coding
AAEL019468	protein_coding_gene	protein_coding
AAEL015163	protein_coding_gene	protein_coding
AAEL009801	protein_coding_gene	protein_coding
AAEL009796	protein_coding_gene	protein_coding
AAEL009802	protein_coding_gene	protein_coding
AAEL009790	protein_coding_gene	protein_coding
AAEL020010	protein_coding_gene	protein_coding
AAEL020011	protein_coding_gene	protein_coding
AAEL009791	protein_coding_gene	protein_coding
AAEL009783	protein_coding_gene	protein_coding
AAEL009788	protein_coding_gene	protein_coding
AAEL009803	protein_coding_gene	protein_coding
AAEL009784	protein_coding_gene	protein_coding
