geneID	geneClass	geneType
AAEL011264	protein_coding_gene	protein_coding
AAEL011263	protein_coding_gene	protein_coding
AAEL011260	protein_coding_gene	protein_coding
AAEL027581	protein_coding_gene	protein_coding
AAEL011268	protein_coding_gene	protein_coding
AAEL022734	protein_coding_gene	protein_coding
AAEL027424	protein_coding_gene	protein_coding
AAEL021524	ncRNA_gene	lncRNA
AAEL026218	protein_coding_gene	protein_coding
AAEL021560	ncRNA_gene	lncRNA
AAEL020345	pseudogene	pseudogene
AAEL007483	protein_coding_gene	protein_coding
AAEL007493	protein_coding_gene	protein_coding
AAEL007501	protein_coding_gene	protein_coding
AAEL007494	protein_coding_gene	protein_coding
AAEL007484	protein_coding_gene	protein_coding
AAEL007482	protein_coding_gene	protein_coding
AAEL007500	protein_coding_gene	protein_coding
AAEL022232	protein_coding_gene	protein_coding
AAEL015338	protein_coding_gene	protein_coding
AAEL026845	protein_coding_gene	protein_coding
AAEL027930	protein_coding_gene	protein_coding
AAEL007480	protein_coding_gene	protein_coding
AAEL007481	protein_coding_gene	protein_coding
AAEL007492	protein_coding_gene	protein_coding
AAEL022065	protein_coding_gene	protein_coding
AAEL024337	protein_coding_gene	protein_coding
AAEL007487	protein_coding_gene	protein_coding
AAEL021513	ncRNA_gene	lncRNA
AAEL026281	ncRNA_gene	lncRNA
AAEL007495	protein_coding_gene	protein_coding
AAEL024535	protein_coding_gene	protein_coding
AAEL021555	protein_coding_gene	protein_coding
AAEL026113	ncRNA_gene	lncRNA
AAEL019433	protein_coding_gene	protein_coding
AAEL022347	ncRNA_gene	lncRNA
AAEL014544	protein_coding_gene	protein_coding
AAEL026836	ncRNA_gene	lncRNA
AAEL027769	ncRNA_gene	lncRNA
AAEL020384	ncRNA_gene	lncRNA
AAEL010891	protein_coding_gene	protein_coding
AAEL010885	protein_coding_gene	protein_coding
AAEL027816	ncRNA_gene	lncRNA
AAEL025463	pseudogene	pseudogene
AAEL029112	protein_coding_gene	protein_coding
AAEL029113	protein_coding_gene	protein_coding
AAEL010892	protein_coding_gene	protein_coding
AAEL010895	protein_coding_gene	protein_coding
AAEL010884	protein_coding_gene	protein_coding
AAEL010893	protein_coding_gene	protein_coding
AAEL010894	protein_coding_gene	protein_coding
AAEL021322	protein_coding_gene	protein_coding
AAEL022259	protein_coding_gene	protein_coding
